"citation","doi","filename","variable","word_column","mean_column","sd_column","ss/item","min_score","max_score"
"Kristin Janschewitz. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods","https://doi.org/10.3758/brm.40.4.1065","Janschewitz2008.csv","familiar","word_english","familiar_mean","familiar_sd",,1.73,8.56
"Kristin Janschewitz. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods","https://doi.org/10.3758/brm.40.4.1065","Janschewitz2008.csv","imagine","word_english","imagine_mean","imagine_sd",,1.4,8.63
"Kristin Janschewitz. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods","https://doi.org/10.3758/brm.40.4.1065","Janschewitz2008.csv","valence","word_english","valence_mean","valence_sd",,1.39,8.29
"Kristin Janschewitz. (2008). Taboo, emotionally valenced, and emotionally neutral word norms. Behavior Research Methods","https://doi.org/10.3758/brm.40.4.1065","Janschewitz2008.csv","valence_anew","word_english","valence_mean_anew",,,1.35,8.85
"Niels Janssen, Petra E. Pajtas, Alfonso Caramazza. (2011). A set of 150 pictures with morphologically complex English compound names: Norms for name agreement, familiarity, image agreement, and visual complexity. Behavior Research Methods","https://doi.org/10.3758/s13428-011-0065-0","Janssen2011.csv","familiar","word_english","familiar_mean","familiar_sd",,1.32,6.87
"Niels Janssen, Petra E. Pajtas, Alfonso Caramazza. (2011). A set of 150 pictures with morphologically complex English compound names: Norms for name agreement, familiarity, image agreement, and visual complexity. Behavior Research Methods","https://doi.org/10.3758/s13428-011-0065-0","Janssen2011.csv","imagine","word_english","imagine_mean","imagine_sd",,2.39,6.78
"Kyle Jasmin, Daniel Casasanto. (2012). The QWERTY Effect: How typing shapes the meanings of words.. Psychonomic Bulletin & Review","https://doi.org/10.3758/s13423-012-0229-7","Jasmin2012.csv","arousal","word_dutch","arousal_mean","arousal_sd",,1.33,9
"Kyle Jasmin, Daniel Casasanto. (2012). The QWERTY Effect: How typing shapes the meanings of words.. Psychonomic Bulletin & Review","https://doi.org/10.3758/s13423-012-0229-7","Jasmin2012.csv","concrete","word_dutch","concrete_mean","concrete_sd",,2.6,9
"Kyle Jasmin, Daniel Casasanto. (2012). The QWERTY Effect: How typing shapes the meanings of words.. Psychonomic Bulletin & Review","https://doi.org/10.3758/s13423-012-0229-7","Jasmin2012.csv","imagine","word_dutch","imagine_mean","imagine_sd",,1.6,775
"Kyle Jasmin, Daniel Casasanto. (2012). The QWERTY Effect: How typing shapes the meanings of words.. Psychonomic Bulletin & Review","https://doi.org/10.3758/s13423-012-0229-7","Jasmin2012.csv","valence","word_dutch","valence_mean","valence_sd",,1,9
"Robert A. Johnston, Kevin Dent, Glyn W. Humphreys, Chris Barry. (2010). British-English norms and naming times for a set of 539 pictures: The role of age of acquisition. Behavior Research Methods","https://doi.org/10.3758/brm.42.2.461","Johnston2010.csv","aoa","word_english_us","aoa_mean",,,1.357142857,6.55
